MedalsWon,Region,Target
2,Afghanistan,10
17,Algeria,20
274,Argentina,10
16,Armenia,5
1349,Australia,120
447,Austria,100
44,Azerbaijan,10
40,Bahamas,10
3,Bahrain,70
1,Barbados,20
139,Belarus,15
466,Belgium,60
1,Bermuda,20
1,Botswana,5
475,Brazil,110
342,Bulgaria,78
2,Burundi,5
22,Cameroon,10
1349,Canada,120
32,Chile,10
993,China,150
28,Colombia,25
4,Costa Rica,25
149,Croatia,25
409,Cuba,100
1,Curacao,25
1,Cyprus,25
644,Czech Republic,25
597,Denmark,25
1,Djibouti,25
7,Dominican Republic,25
2,Ecuador,25
27,Egypt,25
1,Eritrea,25
50,Estonia,25
53,Ethiopia,25
13,Fiji,25
900,Finland,25
1736,France,213
1,Gabon,25
32,Georgia,25
3746,Germany,25
23,Ghana,25
255,Greece,25
2,Grenada,25
1,Guatemala,25
1,Guyana,25
7,Haiti,25
1131,Hungary,100
17,Iceland,50
197,India,70
5,Individual Olympic Athletes,25
41,Indonesia,25
68,Iran,25
1,Iraq,25
35,Ireland,25
9,Israel,25
1636,Italy,25
3,Ivory Coast,25
157,Jamaica,25
913,Japan,100
1,Jordan,25
77,Kazakhstan,70
106,Kenya,25
1,Kosovo,25
2,Kuwait,25
3,Kyrgyzstan,25
35,Latvia,50
4,Lebanon,25
9,Liechtenstein,30
61,Lithuania,50
6,Luxembourg,25
1,Macedonia,30
16,Malaysia,25
1,Mauritius,25
110,Mexico,25
8,Moldova,25
1,Monaco,25
26,Mongolia,25
14,Montenegro,25
23,Morocco,25
2,Mozambique,25
4,Namibia,25
1,Nepal,25
1033,Netherlands,200
228,New Zealand,100
2,Niger,25
99,Nigeria,25
67,North Korea,25
1033,Norway,25
121,Pakistan,40
3,Panama,40
17,Paraguay,40
15,Peru,40
10,Philippines,40
562,Poland,170
41,Portugal,56
9,Puerto Rico,56
5,Qatar,15
653,Romania,170
3947,Russia,222
6,Saudi Arabia,23
1,Senegal,23
539,Serbia,40
47,Slovakia,23
48,Slovenia,23
131,South Africa,23
638,South Korea,23
489,Spain,75
2,Sri Lanka,23
1,Sudan,23
2,Suriname,23
1534,Sweden,75
687,Switzerland,65
5,Syria,23
49,Taiwan,23
4,Tajikistan,23
2,Tanzania,23
30,Thailand,23
1,Togo,23
1,Tonga,23
37,Trinidad,23
13,Tunisia,23
95,Turkey,23
7,Uganda,23
2055,UK,110
199,Ukraine,23
2,United Arab Emirates,23
63,Uruguay,23
5632,USA,250
34,Uzbekistan,23
15,Venezuela,23
4,Vietnam,23
1,Virgin Islands_US,23
2,Zambia,23
22,Zimbabwe,23
